Price,ROM儲存空間,主螢幕尺寸,主相機畫素,主相機光學防手震,主相機UHD 4K錄影,第二主相機畫素,前相機畫素,前相機UHD 4K錄影,NFC,快充功率,無線充電,機身長度,機身寬度,機身厚度,機身重量,防水防塵等級,機身顏色,Brand,第三主相機畫素,RAM記憶體,電池容量,主相機8K錄影,3.5mm耳機孔,記憶卡,RAW檔拍攝,可替換電池,無線反向充電,第四主相機畫素,副螢幕觸控,第二前相機畫素,soc_s,soc_m,resolution_x,resolution_y,OLED,90Hz,120Hz,144Hz,Wifi5G,Wifi6,bt5.0,bt5.1,bt5.2,bt4.2,UFS,cam_back_num,glass,plastic,摺疊螢幕,USB3
20900,256,6.1,12.0,True,True,12.0,12.0,True,True,18.0,True,150.9,75.7,8.3,194.0,True,6,apple,0.0,4.0,3110,False,False,False,False,False,False,0.0,False,0.0,1312,3264,1792,828,False,False,False,False,True,False,True,False,False,False,False,2,True,False,False,False
23300,512,5.8,12.0,True,True,12.0,12.0,True,True,18.0,True,144.0,71.4,8.1,188.0,True,4,apple,12.0,4.0,3046,False,False,False,False,False,False,0.0,False,0.0,1312,3264,2436,1125,True,False,False,False,True,False,True,False,False,False,False,3,True,False,False,False
26000,256,6.1,12.0,True,True,12.0,12.0,True,True,18.0,True,146.7,71.5,7.4,162.0,True,5,apple,0.0,4.0,2815,False,False,False,False,False,False,0.0,False,0.0,1584,4208,2532,1170,True,False,False,False,True,False,True,False,False,False,False,2,True,False,False,False
22300,256,5.4,12.0,True,True,12.0,12.0,True,True,18.0,True,131.5,64.2,7.4,133.0,True,5,apple,0.0,4.0,2227,False,False,False,False,False,False,0.0,False,0.0,1584,4208,2340,1080,True,False,False,False,True,False,True,False,False,False,False,2,True,False,False,False
31590,512,6.1,12.0,True,True,12.0,12.0,True,True,18.0,True,146.7,71.5,7.4,187.0,True,4,apple,12.0,6.0,2815,False,False,False,False,False,False,0.0,False,0.0,1584,4208,2532,1170,True,False,False,False,True,False,True,False,False,False,False,3,True,False,False,False
34590,512,6.7,12.0,True,True,12.0,12.0,True,True,18.0,True,160.8,78.1,7.4,226.0,True,4,apple,12.0,6.0,3687,False,False,False,False,False,False,0.0,False,0.0,1584,4208,2778,1284,True,False,False,False,True,False,True,False,False,False,False,3,True,False,False,False
31890,512,6.1,12.0,True,True,12.0,12.0,True,True,18.0,True,146.7,71.5,7.65,173.0,True,5,apple,0.0,4.0,3095,False,False,False,False,False,False,0.0,False,0.0,1681,4617,2532,1170,True,False,False,False,True,False,True,False,False,False,False,2,True,False,False,False
30490,512,5.4,12.0,True,True,12.0,12.0,True,True,18.0,True,131.5,64.2,7.65,140.0,True,5,apple,0.0,4.0,2406,False,False,False,False,False,False,0.0,False,0.0,1681,4617,2340,1080,True,False,False,False,True,False,True,False,False,False,False,2,True,False,False,False
47590,1024,6.1,12.0,True,True,12.0,12.0,True,True,18.0,False,146.7,71.5,7.65,203.0,True,4,apple,12.0,6.0,3095,False,False,False,False,False,False,0.0,False,0.0,1681,4617,2532,1170,True,False,True,False,True,False,True,False,False,False,False,3,True,False,False,False
44990,512,6.7,12.0,True,True,12.0,12.0,True,True,18.0,False,160.8,78.1,7.65,238.0,True,4,apple,12.0,6.0,4352,False,False,False,False,False,False,0.0,False,0.0,1681,4617,2778,1284,True,False,True,False,True,False,True,False,False,False,False,3,True,False,False,False
15400,256,4.7,12.0,True,True,0.0,7.0,False,True,18.0,True,138.4,67.3,7.3,148.0,True,3,apple,0.0,3.0,1821,False,False,False,False,False,False,0.0,False,0.0,1312,3264,1334,750,False,False,False,False,True,False,True,False,False,False,False,1,True,False,False,False
14500,128,6.1,12.0,True,True,0.0,7.0,False,True,18.0,True,150.9,75.7,8.3,194.0,True,6,apple,0.0,3.0,2658,False,False,False,False,False,False,0.0,False,0.0,1112,2830,1792,828,False,False,False,False,True,False,True,False,False,False,False,1,True,False,False,False
24800,512,6.59,64.0,False,True,13.0,24.0,False,True,30.0,False,171.0,78.0,9.85,240.0,False,1,asus,5.0,16.0,6000,True,False,False,False,False,False,0.0,False,0.0,951,3003,2340,1080,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,True
24500,256,6.78,64.0,False,True,13.0,24.0,False,True,65.0,False,172.8,77.2,10.29,238.0,False,2,asus,5.0,16.0,6000,True,True,False,False,False,False,0.0,False,0.0,1058,3045,2448,1080,True,False,False,True,True,True,False,False,True,False,True,3,True,False,False,True
30490,512,6.78,64.0,False,True,13.0,24.0,False,True,65.0,False,173.0,77.0,9.9,238.0,False,2,asus,5.0,18.0,6000,True,True,False,False,False,False,0.0,False,0.0,1178,3669,2448,1080,True,False,False,True,True,True,False,False,True,False,True,3,True,False,False,True
33990,512,6.78,64.0,False,True,13.0,24.0,False,True,65.0,False,172.8,77.2,10.29,238.0,False,1,asus,5.0,18.0,6000,True,True,False,False,False,False,0.0,False,0.0,1178,3669,2448,1080,True,False,False,True,True,True,False,False,True,False,True,3,True,False,False,True
36490,512,6.78,64.0,False,True,13.0,24.0,False,True,65.0,False,172.8,77.2,10.29,238.0,False,1,asus,5.0,18.0,6000,True,True,False,False,False,False,0.0,False,0.0,1058,3045,2448,1080,True,False,False,True,True,True,False,False,True,False,True,3,True,False,False,True
13800,256,6.4,48.0,False,True,13.0,0.0,False,True,18.0,False,159.1,75.44,9.1,190.0,False,3,asus,0.0,8.0,5000,False,True,True,False,False,False,0.0,False,0.0,742,2760,2340,1080,False,False,False,False,True,False,True,False,False,False,False,2,False,False,False,False
14790,256,6.67,64.0,True,True,12.0,0.0,False,True,30.0,False,165.0,77.28,9.9,230.0,False,2,asus,8.0,8.0,5000,True,False,True,False,False,False,0.0,False,0.0,951,3003,2400,1080,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,False
12890,128,6.67,64.0,False,True,12.0,0.0,False,True,30.0,False,165.0,77.28,9.9,230.0,False,2,asus,8.0,8.0,5000,True,False,True,False,False,False,0.0,False,0.0,932,3217,2400,1080,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,False
16800,256,6.67,64.0,False,True,12.0,0.0,False,True,30.0,False,165.04,77.28,9.6,230.0,False,2,asus,8.0,8.0,5000,True,False,True,False,False,False,0.0,False,0.0,1058,3045,2400,1080,True,True,False,False,True,True,False,False,True,False,True,3,True,False,False,False
17800,256,5.9,64.0,True,True,12.0,12.0,True,True,30.0,False,148.0,68.5,8.9,169.0,True,3,asus,0.0,12.0,4000,True,True,False,True,False,False,0.0,False,0.0,1058,3045,2400,1080,True,False,True,False,True,True,False,False,True,False,True,2,True,False,False,False
6700,64,6.3,12.0,False,True,5.0,13.0,False,False,10.0,False,157.9,75.5,8.5,175.0,False,1,asus,0.0,6.0,5000,False,True,True,False,False,False,0.0,False,0.0,334,1466,2280,1080,False,False,False,False,False,False,True,False,False,False,False,2,False,False,False,False
1850,4,2.4,5.0,False,False,0.0,0.0,False,False,10.0,False,105.5,52.7,19.5,120.0,False,3,benten,0.0,0.5,1600,False,True,True,False,True,False,0.0,False,0.0,106,490,320,240,False,False,False,False,,,False,False,False,False,False,1,False,False,False,False
12700,128,6.39,48.0,False,True,12.0,20.0,False,False,27.0,False,163.61,75.01,8.77,205.0,False,1,blackshark,0.0,6.0,4000,False,False,False,False,False,False,0.0,False,0.0,742,2760,2340,1080,True,False,False,False,True,False,True,False,False,False,False,2,False,False,False,False
15600,128,6.39,48.0,False,True,12.0,20.0,False,False,27.0,False,163.61,75.01,8.77,205.0,False,1,blackshark,0.0,8.0,4000,False,False,False,False,False,False,0.0,False,0.0,758,2634,2340,1080,True,False,False,False,True,False,True,False,False,False,False,2,False,False,False,False
12990,128,6.67,64.0,False,True,13.0,20.0,False,True,65.0,False,168.72,77.33,10.42,222.0,False,1,blackshark,5.0,8.0,4720,False,True,False,False,False,False,0.0,False,0.0,932,3217,2400,1080,True,False,False,False,True,False,True,False,False,False,False,3,False,False,False,False
7200,16,4.7,8.0,False,False,0.0,2.0,False,False,10.0,False,146.0,74.42,12.6,200.0,True,1,cat,0.0,2.0,4000,False,True,True,False,False,False,0.0,False,0.0,62,219,1280,720,False,False,False,False,False,False,False,False,False,False,False,1,False,False,False,False
11390,64,5.65,12.0,False,False,0.0,8.0,False,True,10.0,False,158.1,76.6,9.69,210.0,True,1,cat,0.0,4.0,3100,False,True,True,False,False,False,0.0,False,0.0,170,980,1440,720,False,False,False,False,True,False,True,False,False,False,False,1,False,False,False,False
21990,64,5.2,16.0,False,True,0.0,8.0,False,False,18.0,False,163.0,78.0,13.0,250.0,True,1,cat,0.0,4.0,4500,False,True,True,False,False,False,0.0,False,0.0,174,986,1920,1080,False,False,False,False,True,False,True,False,False,False,False,1,False,False,False,False
19590,256,6.4,50.0,True,True,12.0,8.0,False,True,22.0,True,158.6,74.8,8.9,207.0,True,2,google,0.0,8.0,4614,False,False,False,False,False,True,0.0,False,0.0,1029,2696,2400,1080,True,True,False,False,True,True,False,False,True,False,True,2,True,False,False,True
28990,256,6.71,50.0,True,True,48.0,11.1,False,True,22.0,True,163.9,75.9,8.9,210.0,True,1,google,12.0,12.0,5003,False,False,False,False,False,True,0.0,False,0.0,1029,2696,3120,1440,True,False,True,False,True,True,False,False,True,False,True,3,True,False,False,True
5700,128,6.2,13.0,False,False,8.0,16.0,False,True,10.0,False,156.2,74.8,8.5,170.0,False,2,htc,5.0,6.0,3850,False,True,True,False,False,False,0.0,False,0.0,170,980,1520,720,False,False,False,False,True,False,True,False,False,False,False,3,False,False,False,False
6290,128,6.5,48.0,False,True,5.0,16.0,False,True,18.0,False,164.9,75.7,9.0,203.0,False,3,htc,5.0,6.0,5000,False,True,True,False,False,False,2.0,False,0.0,560,1711,1600,720,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
6190,128,6.5,48.0,False,True,8.0,25.0,False,True,18.0,False,162.0,77.0,9.4,201.0,False,3,htc,2.0,6.0,5000,False,True,True,False,False,False,2.0,False,0.0,306,1291,2160,1080,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
7990,128,6.7,48.0,False,True,8.0,16.0,False,True,18.0,False,167.1,78.1,9.4,205.0,False,2,htc,2.0,8.0,5000,False,False,True,False,False,False,2.0,False,0.0,594,1737,2400,1080,False,True,False,False,True,False,False,True,False,False,False,4,False,False,False,False
10690,256,6.8,48.0,False,True,8.0,32.0,False,True,18.0,False,171.2,78.1,9.4,215.5,False,3,htc,2.0,8.0,5000,False,False,True,False,False,False,2.0,False,0.0,594,1823,2400,1080,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
24500,256,7.2,40.0,False,True,20.0,24.0,False,True,40.0,False,174.6,85.4,8.38,233.0,True,1,huawei,8.0,8.0,4200,False,True,True,False,False,False,0.0,False,0.0,688,2420,2244,1080,True,False,False,False,True,False,True,False,False,False,False,3,False,False,False,True
5790,128,6.59,16.0,False,False,8.0,16.0,False,False,10.0,False,163.5,77.3,8.8,196.8,False,2,huawei,2.0,4.0,4000,False,True,True,False,False,False,0.0,False,0.0,333,1298,2340,1080,False,False,False,False,False,False,False,False,False,True,False,3,False,False,False,False
1700,4,3.5,2.0,False,False,0.0,0.0,False,False,10.0,False,120.0,59.0,17.0,148.0,False,2,inhon,0.0,0.5,1500,False,True,True,False,True,False,0.0,False,0.0,70,325,854,480,False,False,False,False,,,False,False,False,False,False,1,False,False,False,False
4200,64,7.12,16.0,False,False,2.0,5.0,False,False,10.0,False,177.14,87.42,9.9,251.0,False,2,koobee,2.0,4.0,5000,False,True,True,False,False,False,2.0,False,0.0,288,1334,2244,1080,False,False,False,False,,,False,False,False,True,False,4,False,False,False,False
2500,32,6.1,13.0,False,False,2.0,8.0,False,False,10.0,False,155.3,74.4,8.5,157.0,False,2,koobee,0.0,3.0,3400,False,True,True,False,False,False,0.0,False,0.0,161,538,1560,720,False,False,False,False,True,False,True,False,False,False,False,2,False,False,False,False
2800,64,6.1,13.0,False,False,2.0,8.0,False,False,10.0,False,154.5,73.8,8.85,158.0,False,2,koobee,2.0,4.0,4000,False,True,True,False,False,False,0.0,False,0.0,146,720,1560,720,False,False,False,False,,,False,False,False,False,False,3,False,False,False,False
19990,512,6.65,64.0,False,False,16.0,20.0,False,True,90.0,False,169.17,78.48,9.9,239.0,False,2,lenovo,0.0,16.0,5000,False,False,False,False,False,False,0.0,False,0.0,951,3003,2340,1080,True,False,False,False,True,False,False,True,False,False,False,2,False,False,False,True
13500,128,6.4,12.0,False,True,13.0,32.0,True,True,18.0,True,159.2,75.8,8.4,192.0,True,1,lg,0.0,6.0,4000,False,True,True,False,False,False,0.0,False,0.0,742,2760,2340,1080,True,False,False,False,True,False,True,False,False,False,False,2,False,False,False,False
2699,64,6.6,13.0,False,False,5.0,8.0,False,True,10.0,False,165.0,76.7,8.4,184.0,False,1,lg,2.0,3.0,4000,False,True,True,False,False,False,2.0,False,0.0,137,805,1600,720,False,False,False,False,False,False,True,False,False,False,False,4,False,False,False,False
4000,64,6.55,32.0,False,False,5.0,13.0,False,True,10.0,False,165.2,76.7,8.2,192.0,False,2,lg,2.0,3.0,4000,False,True,True,False,False,False,2.0,False,0.0,155,532,1600,720,False,False,False,False,False,False,True,False,False,False,False,4,False,False,False,False
4800,64,6.6,48.0,False,False,5.0,13.0,False,True,10.0,False,165.0,76.7,8.4,188.0,False,2,lg,2.0,4.0,4000,False,True,True,False,False,False,2.0,False,0.0,155,532,1600,720,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
4990,128,6.53,48.0,False,False,8.0,16.0,False,True,10.0,False,164.5,77.5,8.4,191.0,False,2,lg,5.0,4.0,4000,False,True,True,False,False,False,2.0,False,0.0,155,532,2340,1080,False,False,False,False,True,False,True,False,False,False,False,4,False,False,False,False
19900,256,6.8,64.0,False,False,13.0,10.0,False,True,25.0,True,169.35,77.62,8.79,214.0,True,1,lg,0.0,8.0,5000,True,False,True,False,False,False,0.0,False,0.0,932,3217,2460,1080,True,False,False,False,True,False,False,True,False,False,False,2,False,False,False,True
8490,128,6.8,48.0,False,True,8.0,16.0,False,True,27.0,True,167.08,74.0,7.85,180.0,True,5,lg,5.0,6.0,4300,False,True,True,False,False,False,0.0,False,0.0,594,1823,2460,1080,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,True
21150,128,6.8,64.0,True,False,13.0,32.0,False,True,25.0,True,169.5,74.5,10.9,260.0,True,1,lg,12.0,8.0,4000,False,False,True,False,False,False,0.0,True,0.0,594,1823,2460,1080,True,False,False,False,True,False,False,True,False,False,False,3,False,False,False,True
3900,64,6.5,48.0,False,False,2.0,8.0,False,False,10.0,False,165.1,75.6,9.1,198.0,True,1,motorola,2.0,4.0,5000,False,True,True,False,False,False,0.0,False,0.0,352,1302,1600,720,False,True,False,False,False,False,True,False,False,False,False,3,False,True,False,False
3099,32,6.1,13.0,False,False,2.0,5.0,False,False,10.0,False,155.6,73.0,8.5,160.0,False,2,motorola,0.0,2.0,3000,False,True,True,False,False,False,0.0,False,0.0,146,720,1560,720,False,False,False,False,False,False,False,False,False,True,False,2,False,False,False,False
8490,128,6.7,108.0,False,True,8.0,32.0,False,True,30.0,False,166.0,76.0,8.25,185.0,True,1,motorola,2.0,8.0,5000,False,True,True,True,False,False,0.0,False,0.0,618,1838,2400,1080,True,True,False,False,True,False,True,False,False,False,False,3,False,True,False,False
15790,256,6.7,108.0,True,True,16.0,32.0,True,True,30.0,False,163.0,76.0,7.99,190.0,True,1,motorola,8.0,12.0,4500,True,False,False,True,False,False,0.0,False,0.0,937,3094,2400,1080,True,False,False,True,True,False,False,True,False,False,True,3,True,False,False,True
3990,128,6.5,48.0,False,False,8.0,8.0,False,True,10.0,False,165.22,75.73,9.19,200.0,True,2,motorola,2.0,4.0,5000,False,True,True,True,False,False,2.0,False,0.0,249,1135,1600,720,False,False,False,False,True,False,True,False,False,False,False,4,False,True,False,False
5990,128,6.5,64.0,False,False,8.0,13.0,False,True,15.0,False,165.22,75.73,9.14,200.0,True,2,motorola,2.0,6.0,5000,False,True,True,True,False,False,2.0,False,0.0,309,1354,1600,720,False,True,False,False,True,False,True,False,False,False,False,4,False,True,False,False
4400,64,6.5,16.0,False,False,2.0,8.0,False,False,10.0,False,164.94,75.76,9.2,200.0,False,2,motorola,2.0,4.0,5000,False,True,True,False,False,False,0.0,False,0.0,170,980,1600,720,False,False,False,False,False,False,False,False,False,True,False,3,False,False,False,False
4190,64,6.5,48.0,False,False,2.0,8.0,False,False,10.0,False,165.21,75.73,9.81,200.0,False,2,motorola,2.0,4.0,5000,False,True,True,True,False,False,0.0,False,0.0,309,1354,1600,720,False,False,False,False,True,False,True,False,False,False,False,3,False,True,False,False
6290,128,6.8,64.0,False,True,8.0,16.0,False,True,30.0,False,169.98,78.1,9.69,223.0,False,2,motorola,2.0,6.0,5000,False,True,True,True,False,False,0.0,False,0.0,522,1633,2400,1080,False,False,False,False,True,False,True,False,False,False,False,3,False,True,False,False
